Category,Item,Station,Value,ValueType
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,556,5.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,578,5.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,607,6.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,676,3.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,695,6.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,589,4.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,589A4,2.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,589A5,8.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,657,8.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,502,8.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,520,3.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,564,5.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,580,4.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,586,3.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,598,5.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,623,5.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,635,5.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,667,6.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,549,3.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,671,4.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,674,3.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,501,2.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,644,5.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,678,7.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,436,0.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,554,1.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,575,4.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,660,4.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,666,13.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,531,4.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,648,3.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,653,5.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,663,3.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,668,3.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,459,3.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,570,5.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,612A4,2.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,640,4.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,654,5.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,662,2.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,593,4.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,600,3.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,605,4.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,664,3.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,691,2.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,437,3.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,438,3.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,568,4.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,618,2.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,636,3.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,636A6,4.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,636A8,4.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Inpatient Mental Health,656,4.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,405,2.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,518,5.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,523,3.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,631,0.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,689,2.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,528,4.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,528A5,6.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,528A6,24.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,528A8,1.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,561,5.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,620,10.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,630,3.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,632,2.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,529,8.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,540,2.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,542,23.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,595,3.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,642,0.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,646,3.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,693,2.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,512,5.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,613,9.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,558,0.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,590,5.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,637,2.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,652,1.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,658,4.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,659,2.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,508,0.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,509,2.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,521,0.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,557,7.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,619,2.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,679,8.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,516,2.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,546,1.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,573,1.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,673,0.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,675,0.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,596A4,2.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,603,1.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,614,2.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,621,3.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,626,0.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,538,9.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,539,5.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,541,3.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,552,3.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,515,6.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,550,2.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,553,1.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,583,1.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,610,2.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,537,3.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,556,10.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,578,2.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,607,1.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,676,5.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,695,6.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,589,3.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,589A4,0.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,589A5,5.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,657,3.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,657A5,0.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,502,0.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,520,3.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,580,0.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,586,2.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,598,5.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,635,0.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,667,0.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,549,3.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,671,1.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,674,5.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,501,2.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,519,3.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,644,0.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,649,6.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,678,1.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,436,2.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,554,1.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,660,2.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,666,15.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in Residential Mental Health,463,4.00%,Percent
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,662,38.09,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,593,9.89,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,600,20.47,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,605,28.13,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,664,9.83,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,691,44.12,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,437,8.68,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,438,10.52,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,568,9.44,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,618,12.99,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,636,33.59,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,636A6,10.95,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,636A8,13.98,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - Substance Use Disorder,656,4.59,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,402,8.02,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,405,15.01,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,518,24.82,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,523,16.86,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,608,7.63,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,631,12.4,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,650,12.09,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,689,16.82,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,528,13.22,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,528A5,15.44,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,528A6,35.76,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,528A7,9.78,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,528A8,14.37,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,526,16.24,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,561,15.33,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,620,22,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,630,15.08,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,632,16.79,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,460,9.18,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,503,8.48,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,529,15.83,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,540,10.44,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,542,25.56,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,562,12.57,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,595,12.95,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,642,11.98,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,646,15.84,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,693,9.92,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,512,17.98,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,613,17.73,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,688,13.62,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,517,6.71,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,558,8.72,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,565,7.26,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,590,11.14,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,637,11.78,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,652,8.68,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,658,12.96,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,659,10.38,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,508,13.33,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,509,10.47,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,521,10.08,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,534,9.64,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,544,8.85,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,557,10.17,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,619,9.79,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,679,18.83,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,516,12.9,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,546,14.94,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,548,11.5,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,573,10.5,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,672,9.58,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,673,13.39,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,675,9.21,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,581,9.82,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,596A4,10.53,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,603,12.12,Number
